epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5703,0.98324,2.68683,1.526,0.50889,0.59249,0.61067,0.50899,0.78913,1.99521,1.56154,0.000131556,0.000131556,0.000131556
2,90.7882,0.83583,1.43739,1.35046,0.67562,0.80165,0.87844,0.69745,0.87754,1.0568,1.71367,0.000256148,0.000256148,0.000256148
3,133.565,0.84389,1.1658,1.35264,0.83042,0.73511,0.88173,0.68289,0.94835,1.07504,1.78871,0.00037194,0.00037194,0.00037194
4,176.523,0.80044,1.02897,1.31001,0.81458,0.86115,0.91297,0.74521,0.79623,0.77679,1.57295,0.0003604,0.0003604,0.0003604
5,219.741,0.78058,0.96124,1.30139,0.84827,0.87831,0.94245,0.757,0.70259,0.6734,1.4749,0.0003472,0.0003472,0.0003472
6,266.674,0.79535,0.92228,1.31126,0.81083,0.93335,0.92154,0.75242,0.83574,0.63482,1.59104,0.000334,0.000334,0.000334
7,309.223,0.75766,0.85106,1.27621,0.92145,0.90201,0.97027,0.81047,0.70339,0.53529,1.45643,0.0003208,0.0003208,0.0003208
8,352.112,0.74599,0.78284,1.25522,0.83579,0.90392,0.94417,0.77421,0.82617,0.62973,1.56421,0.0003076,0.0003076,0.0003076
9,394.713,0.74483,0.75988,1.26843,0.90532,0.89851,0.95143,0.78938,0.74087,0.48302,1.47728,0.0002944,0.0002944,0.0002944
10,437.36,0.74006,0.69296,1.25238,0.88774,0.91331,0.98037,0.82646,0.68015,0.44185,1.40684,0.0002812,0.0002812,0.0002812
11,480.226,0.71974,0.65874,1.24232,0.9028,0.94835,0.97355,0.83427,0.6729,0.40841,1.37442,0.000268,0.000268,0.000268
12,529.115,0.69944,0.65232,1.23543,0.87052,0.89171,0.95541,0.82373,0.68848,0.49332,1.38929,0.0002548,0.0002548,0.0002548
13,572.045,0.69105,0.61995,1.22565,0.9427,0.96506,0.97918,0.84795,0.71061,0.44887,1.44661,0.0002416,0.0002416,0.0002416
14,615.661,0.67977,0.58825,1.21031,0.92119,0.97776,0.98469,0.84702,0.68827,0.3898,1.41185,0.0002284,0.0002284,0.0002284
15,658.615,0.68475,0.55498,1.22199,0.92791,0.96103,0.97649,0.84143,0.66259,0.36533,1.34233,0.0002152,0.0002152,0.0002152
16,701.242,0.67647,0.54779,1.21083,0.95651,0.96685,0.97974,0.83204,0.75694,0.38842,1.46886,0.000202,0.000202,0.000202
17,743.839,0.69451,0.5402,1.22002,0.95215,0.9517,0.98012,0.82935,0.70999,0.36291,1.44171,0.0001888,0.0001888,0.0001888
18,786.52,0.6607,0.52686,1.20659,0.94726,0.96726,0.97924,0.84743,0.64659,0.36051,1.33689,0.0001756,0.0001756,0.0001756
19,829.204,0.64782,0.47489,1.20194,0.96039,0.97937,0.97248,0.83487,0.66277,0.34166,1.37038,0.0001624,0.0001624,0.0001624
20,871.899,0.63089,0.44029,1.16735,0.96862,0.97673,0.97831,0.8365,0.65319,0.33974,1.36265,0.0001492,0.0001492,0.0001492
21,915.525,0.51122,0.31128,1.21927,0.96857,0.97528,0.99054,0.84608,0.69696,0.37146,1.38595,0.000136,0.000136,0.000136
22,957.938,0.51032,0.28784,1.22338,0.96628,0.98171,0.99035,0.85341,0.65393,0.33453,1.33897,0.0001228,0.0001228,0.0001228
23,1000.71,0.49319,0.27884,1.19985,0.96762,0.98184,0.98919,0.86524,0.64184,0.32359,1.3256,0.0001096,0.0001096,0.0001096
24,1043.36,0.48308,0.26615,1.19615,0.96719,0.98307,0.99061,0.86759,0.6208,0.30175,1.29549,9.64e-05,9.64e-05,9.64e-05
25,1086.31,0.48174,0.26952,1.17727,0.97636,0.98389,0.99177,0.87196,0.63871,0.30576,1.32977,8.32e-05,8.32e-05,8.32e-05
26,1130.59,0.46465,0.24724,1.18429,0.9747,0.98442,0.98609,0.87217,0.61995,0.27825,1.29096,7e-05,7e-05,7e-05
27,1172.86,0.44669,0.23096,1.1561,0.97667,0.98177,0.98837,0.86337,0.63387,0.28411,1.31949,5.68e-05,5.68e-05,5.68e-05
28,1215.16,0.44694,0.22713,1.1495,0.97758,0.98536,0.98721,0.86842,0.62208,0.28931,1.3038,4.36e-05,4.36e-05,4.36e-05
29,1257.95,0.42987,0.22181,1.13384,0.98092,0.98506,0.98721,0.86552,0.61592,0.27791,1.29446,3.04e-05,3.04e-05,3.04e-05
30,1300.43,0.42138,0.20847,1.13298,0.98168,0.9869,0.98721,0.87688,0.61503,0.27661,1.28784,1.72e-05,1.72e-05,1.72e-05
